user_id,age_group,gender,occupation,phone_type,subscription_type,home_lat,home_lon,home_h3,locality,department,region,urban_rural,household_size,initial_wealth_score,creation_timestamp
374479ad0622,35-44,M,other,smartphone,prepaid,7.964074,-4.929585,877515640ffffff,Bouake,Gbeke,ValléeduBandama,urban,2,0.665,2026-01-13T15:08:25.125709
50b99b50f5b3,18-24,F,farmer,smartphone,prepaid,5.773797,-6.298045,8775a9954ffffff,Soubre,Nawa,Bas-Sassandra,rural,3,0.672,2026-01-13T15:08:25.127088
2164b0a7b99a,25-34,M,farmer,smartphone,prepaid,9.020048,-5.018811,877514b0cffffff,Tafiere,Hambol,ValléeduBandama,rural,3,0.469,2026-01-13T15:08:25.128099
a895dc1bcf2a,35-44,M,informal_sector,smartphone,prepaid,9.476151,-7.75523,87544a398ffffff,Odienné,Kabadougou,Denguélé,rural,6,0.562,2026-01-13T15:08:25.129123
86efdd3c28db,18-24,M,informal_sector,smartphone,prepaid,5.26217,-3.925192,877519b99ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,5,0.603,2026-01-13T15:08:25.130115
3ec50ce501e9,35-44,M,employee,smartphone,prepaid,5.269238,-4.713221,87751bba9ffffff,Dabou,GrandsPonts,Lagunes,rural,4,0.879,2026-01-13T15:08:25.131111
cbeadbee74ac,25-34,F,farmer,basic,prepaid,5.280789,-4.01382,877519141ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,3,0.319,2026-01-13T15:08:25.132112
cb249ed13109,25-34,F,farmer,basic,prepaid,7.323164,-4.514314,87751cd2effffff,Kouassikro,N'zi,Lacs,rural,4,0.103,2026-01-13T15:08:25.133105
eca30eaa67c7,25-34,M,trader,feature,prepaid,6.335602,-5.721649,87751e79bffffff,Diegonefla,Gôh,Gôh-Djiboua,urban,2,0.55,2026-01-13T15:08:25.134061
57dfa338f108,55+,F,student,feature,prepaid,7.718773,-6.050751,8775106a5ffffff,Kongasso,Béré,Woroba,urban,7,0.634,2026-01-13T15:08:25.135040
4f574c265567,18-24,F,informal_sector,smartphone,prepaid,5.37151,-4.060972,877519176ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,4,0.81,2026-01-13T15:08:25.135983
7045b0da99fa,25-34,M,other,feature,prepaid,6.757978,-6.455979,8775aca68ffffff,Daloa,Haut-Sassandra,Sassandra-Marahoué,urban,2,0.75,2026-01-13T15:08:25.137020
f1e98c009b37,25-34,F,trader,basic,prepaid,5.815972,-6.018703,87751a518ffffff,Gagnoa,Gôh,Gôh-Djiboua,urban,6,0.434,2026-01-13T15:08:25.137973
9eeeb933004b,35-44,F,farmer,smartphone,prepaid,7.064335,-4.514714,87751cc4effffff,Bocanda,N'zi,Lacs,urban,4,0.863,2026-01-13T15:08:25.138961
0018fda90e92,45-54,M,farmer,feature,postpaid,7.678848,-4.883863,8775118e0ffffff,Bouake,Gbeke,ValléeduBandama,urban,6,0.758,2026-01-13T15:08:25.139945
3fe542455e88,35-44,M,farmer,smartphone,prepaid,8.884845,-5.38517,877514074ffffff,Niakarmadougou,Hambol,ValléeduBandama,rural,3,0.715,2026-01-13T15:08:25.140911
0c69d11a7bd5,25-34,F,farmer,feature,prepaid,7.642548,-5.100999,877511c4dffffff,Bouake,Gbeke,ValléeduBandama,urban,8,0.449,2026-01-13T15:08:25.141814
ede66f4aeac5,18-24,M,student,feature,prepaid,5.396001,-4.123765,877519103ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,6,0.642,2026-01-13T15:08:25.142773
d5d0ad203c43,45-54,M,trader,feature,prepaid,9.432252,-5.85394,875449aabffffff,Korhogo,Poro,Savanes,urban,7,0.635,2026-01-13T15:08:25.143689
