user_id,timestamp,origin_locality,origin_region,current_locality,current_region,origin_lat,origin_lon,current_lat,current_lon,residence_duration_days,movement_type,is_return_migration,previous_locations,distance_km
d046d92f4f5a,2024-01-22T00:00:00,Samatiguila,Denguélé,Kouibly,Montagnes,9.884765,-7.602428,7.23652,-7.383465,53,temporary_stay,False,[np.str_('Samatiguila')],295.5
83ce67bd6697,2024-01-25T00:00:00,Gagnoa,Gôh-Djiboua,Bako,Denguélé,6.132813,-6.038465,8.97569,-7.635612,73,seasonal_agriculture,False,[np.str_('Gagnoa')],361.8
4aa064f6d272,2024-01-21T00:00:00,Gbongaha,Denguélé,Kanakono,Savanes,9.284842,-7.107013,10.375961,-6.214064,186,work_migration,False,[np.str_('Gbongaha')],155.9
eb3fa41ec74e,2024-01-18T00:00:00,Abidjan-Ville,Abidjan,Seguelon,Denguélé,5.314204,-4.037723,9.287877,-6.948145,129,work_migration,False,[np.str_('Abidjan-Ville')],546.1
6cd897c0f938,2024-01-19T00:00:00,Abidjan-Ville,Abidjan,Songon,Abidjan,5.241764,-4.09366,5.282631,-4.228893,24,circular_migration,True,"[np.str_('Abidjan-Ville'), np.str_('Fresco')]",15.6
7c081bd2675d,2024-01-24T00:00:00,Daloa,Sassandra-Marahoué,Saioua,Sassandra-Marahoué,7.086791,-6.578226,6.34777,-6.229568,213,education_migration,True,"[np.str_('Daloa'), np.str_('Anyama')]",90.7
4043296334d6,2024-01-04T00:00:00,Assuefry,Zanzan,Foumbolo,ValléeduBandama,7.755657,-3.029997,8.719732,-4.790475,35,circular_migration,False,[np.str_('Assuefry')],221.4
b6fc54f45e12,2024-01-26T00:00:00,Sangouine,Montagnes,Yakasse-Attobrou,Lagunes,7.491395,-7.815164,5.87823,-3.631191,361,work_migration,False,[np.str_('Sangouine')],495.7
6c5964552e3e,2024-01-13T00:00:00,Man,Montagnes,Lakota,Gôh-Djiboua,7.350592,-7.549818,5.798302,-5.831757,115,work_migration,False,[np.str_('Man')],256.5
812f0d2b91e3,2024-01-29T00:00:00,Dabou,Lagunes,Gbonne,Montagnes,5.493814,-4.71597,7.647639,-7.25503,13,circular_migration,False,[np.str_('Dabou')],368.8
fc42a3df2873,2024-01-26T00:00:00,Abidjan-Ville,Abidjan,Kanakono,Savanes,5.433374,-4.071251,10.485469,-6.222062,113,work_migration,False,[np.str_('Abidjan-Ville')],609.6
548b9401fd95,2024-01-18T00:00:00,Korhogo,Savanes,Botro,ValléeduBandama,9.507529,-5.632245,7.846052,-5.229585,337,work_migration,False,[np.str_('Korhogo')],190.0
662b58d07283,2024-01-13T00:00:00,Abidjan-Ville,Abidjan,Dimbokro,Lacs,5.382375,-4.000836,6.73259,-4.807095,36,circular_migration,False,[np.str_('Abidjan-Ville')],174.6
a29a4c7b601a,2024-01-14T00:00:00,San-Pedro,Bas-Sassandra,Agou,Lagunes,5.138396,-6.36853,5.863647,-3.949446,335,work_migration,False,[np.str_('San-Pedro')],279.6
1b6142b00ea4,2024-01-03T00:00:00,Tioroniaradougou,Savanes,Koumbala,Savanes,9.315947,-5.657691,9.419347,-5.308145,25,temporary_stay,False,[np.str_('Tioroniaradougou')],40.0
0130914c6ecf,2024-01-15T00:00:00,Korhogo,Savanes,Seguelon,Denguélé,9.648343,-5.779076,9.120645,-6.826416,105,seasonal_agriculture,False,[np.str_('Korhogo')],129.0
e92ad58862d3,2024-01-16T00:00:00,M'batto,Lacs,Ettrokro,Lacs,6.347282,-4.5077,7.369125,-3.569228,198,work_migration,False,"[np.str_(""M'batto"")]",153.8
032ffdff0fa9,2024-01-20T00:00:00,Issia,Sassandra-Marahoué,Samatiguila,Denguélé,6.434043,-6.735897,9.800679,-7.598747,320,work_migration,False,[np.str_('Issia')],386.2
fadea221f70d,2024-01-21T00:00:00,Abidjan-Ville,Abidjan,Dioulatiedougou,Denguélé,5.303652,-4.114499,9.058134,-7.322079,31,seasonal_agriculture,False,[np.str_('Abidjan-Ville')],547.2
afc5876cd58d,2024-01-09T00:00:00,Abidjan-Ville,Abidjan,Toumodi,Lacs,5.431847,-3.972552,6.380344,-4.976666,50,temporary_stay,False,[np.str_('Abidjan-Ville')],153.2
5dd0afc77c1e,2024-01-29T00:00:00,Abidjan-Ville,Abidjan,Koun-Fao,Zanzan,5.3404,-4.051851,7.409756,-3.348746,125,permanent_relocation,False,[np.str_('Abidjan-Ville')],242.9
7dde127782ef,2024-01-25T00:00:00,Boundiali,Savanes,Tortiya,ValléeduBandama,9.63937,-6.233093,8.735072,-5.657553,143,education_migration,False,[np.str_('Boundiali')],118.8
9ccd165f24a4,2024-01-03T00:00:00,Abidjan-Ville,Abidjan,Gueyo,Bas-Sassandra,5.386535,-4.041382,5.6511,-6.153132,264,work_migration,True,"[np.str_('Abidjan-Ville'), np.str_('Anyama')]",235.6
b22f6258855f,2024-01-03T00:00:00,Agou,Lagunes,Tengréla,Savanes,5.890096,-3.965933,10.553997,-6.499307,61,seasonal_agriculture,False,[np.str_('Agou')],588.8
